Time,Load,TotalPower,Diesel,Solar,Wind,RemainingPower,V2G
0.20735702,1.090666828,1.08897463,-0.048606364,-0.001217324,1.138798319,-0.001692197,1.41561E-06
0.209178644,1.094434522,1.142380499,0.000706789,-0.001209229,1.142882938,0.047945977,1.41818E-06
0.211000268,1.098326539,1.130181718,-0.015449887,-0.001223563,1.146855167,0.031855179,1.42073E-06
0.212821892,1.101989383,1.057900741,-0.091243106,-0.001255342,1.150399189,-0.044088642,1.42243E-06
0.214643516,1.105130676,0.950067965,-0.2019602,-0.001294077,1.153322242,-0.155062711,1.42273E-06
0.21646514,1.107612014,0.842120612,-0.312167291,-0.001327183,1.155615086,-0.265491402,1.42155E-06
0.218286764,1.109491576,0.768968636,-0.38714052,-0.001344005,1.15745316,-0.34052294,1.41927E-06
0.220108388,1.111003514,0.753914368,-0.40388525,-0.001339194,1.159138813,-0.357089146,1.41662E-06
0.221930011,1.112481515,0.801438337,-0.358251041,-0.001314345,1.161003724,-0.311043178,1.41443E-06
0.223751635,1.114251571,0.896078789,-0.265946929,-0.001277408,1.163303126,-0.218172782,1.41338E-06
0.225573259,1.116528471,1.007663109,-0.157232412,-0.001240083,1.166135604,-0.108865362,1.41377E-06
0.227394883,1.119348918,1.10112929,-0.067070384,-0.001214053,1.169413727,-0.018219628,1.41544E-06
0.229216507,1.12256217,1.147744876,-0.023942189,-0.001207266,1.172894331,0.025182706,1.41782E-06
0.231038131,1.125880566,1.13413551,-0.040901168,-0.001221441,1.176258119,0.008254945,1.42014E-06
0.232859755,1.128973121,1.06628743,-0.111673618,-0.001251601,1.179212649,-0.062685691,1.42165E-06
0.234681379,1.131571824,0.967332156,-0.212965634,-0.001287738,1.181585529,-0.164239668,1.42186E-06
0.236503003,1.133556506,0.869918829,-0.312141274,-0.001318064,1.183378167,-0.263637677,1.42073E-06
0.238324627,1.13499149,0.805687126,-0.377743514,-0.001332785,1.184763426,-0.329304363,1.41862E-06
